case_id,trial_verdict,appeal_outcome
CASE_00664,Murder,UPHELD
CASE_00665,Manslaughter,UPHELD
CASE_00666,Murder,UNKNOWN
CASE_00667,Manslaughter,QUASHED
CASE_00668,Murder,QUASHED
CASE_00669,Murder,SENTENCE
CASE_00670,Murder,UPHELD
CASE_00671,Murder,UPHELD
CASE_00672,Murder,UPHELD
CASE_00673,Murder,UPHELD
CASE_00674,Murder,UPHELD
CASE_00675,Murder,UNKNOWN
CASE_00676,Murder,QUASHED
CASE_00677,Unknown,UNKNOWN
CASE_00678,Murder,UPHELD
CASE_00679,Murder,UPHELD
CASE_00680,Murder,UPHELD
CASE_00681,Unknown,UNKNOWN
CASE_00682,Murder,UPHELD
CASE_00683,Murder,UPHELD
CASE_00684,Murder,UPHELD
CASE_00685,Murder,SENTENCE
CASE_00686,Murder,SENTENCE
CASE_00687,Murder,SENTENCE
CASE_00688,Murder,QUASHED
CASE_00689,Murder,UNKNOWN
CASE_00690,Murder,UPHELD
CASE_00691,Murder,UPHELD
CASE_00692,Unknown,SENTENCE
CASE_00693,Not Guilty,UNKNOWN
CASE_00694,Murder,UPHELD
CASE_00695,Manslaughter,UPHELD
CASE_00696,Murder,UPHELD
CASE_00697,Murder,SENTENCE
CASE_00698,Murder,SENTENCE
CASE_00699,Murder,UPHELD
CASE_00700,Murder,QUASHED
CASE_00701,Not Guilty,QUASHED
CASE_00702,Murder,UPHELD
CASE_00703,Murder,UPHELD
CASE_00704,Murder,UPHELD
CASE_00705,Murder,QUASHED
CASE_00706,Murder,QUASHED
CASE_00707,Murder,SENTENCE
CASE_00708,Murder,UNKNOWN
CASE_00709,Murder,UPHELD
CASE_00710,Murder,UPHELD
CASE_00711,Murder,RETRIAL
CASE_00712,Murder,UNKNOWN
CASE_00713,Murder,UPHELD
CASE_00714,Murder,UPHELD
CASE_00715,Murder,UPHELD
CASE_00716,Murder,UPHELD
CASE_00717,Murder,RETRIAL
CASE_00718,Manslaughter,SENTENCE
CASE_00719,Murder,UPHELD
CASE_00720,Unknown,SENTENCE
CASE_00721,Unknown,SENTENCE
CASE_00722,Murder,RETRIAL
CASE_00723,Unknown,UNKNOWN
CASE_00724,Not Guilty,UNKNOWN
CASE_00725,Murder,UPHELD
CASE_00726,Murder,UPHELD
CASE_00727,Manslaughter,UPHELD
CASE_00728,Manslaughter,UPHELD
CASE_00729,Unknown,SENTENCE
CASE_00730,Manslaughter,SENTENCE
CASE_00731,Not Guilty,SENTENCE
CASE_00732,Murder,UPHELD
CASE_00733,Murder,UPHELD
CASE_00734,Murder,UPHELD
CASE_00735,Murder,UPHELD
CASE_00736,Unknown,UNKNOWN
CASE_00737,Murder,RETRIAL
CASE_00738,Murder,UNKNOWN
CASE_00739,Not Guilty,UNKNOWN
CASE_00740,Murder,UPHELD
CASE_00741,Murder,UPHELD
CASE_00742,Murder,UPHELD
CASE_00743,Murder,QUASHED
CASE_00744,Murder,UPHELD
CASE_00745,Murder,UNKNOWN
CASE_00746,Murder,UPHELD
CASE_00747,Murder,UPHELD
CASE_00748,Murder,UPHELD
CASE_00749,Murder,UPHELD
CASE_00750,Murder,UPHELD
CASE_00751,Unknown,UNKNOWN
CASE_00752,Murder,UPHELD
CASE_00753,Not Guilty,RETRIAL
CASE_00754,Manslaughter,SENTENCE
CASE_00755,Murder,UPHELD
CASE_00756,Manslaughter,SENTENCE
CASE_00757,Murder,UNKNOWN
CASE_00758,Manslaughter,RETRIAL
CASE_00759,Manslaughter,UPHELD
CASE_00760,Murder,UPHELD
CASE_00761,Murder,QUASHED
CASE_00762,Murder,QUASHED
CASE_00763,Murder,QUASHED
CASE_00764,Murder,UPHELD
CASE_00765,Manslaughter,SENTENCE
CASE_00766,Manslaughter,SENTENCE
CASE_00767,Murder,UPHELD
CASE_00768,Murder,SENTENCE
CASE_00769,Unknown,QUASHED
CASE_00770,Unknown,SENTENCE
CASE_00771,Murder,UNKNOWN
CASE_00772,Murder,UPHELD
