cpt_node,parent_config_index,child_state_index,child_state_label,baseline_prob,best_multiplier,P_Murder_baseline,P_Murder_perturbed,max_abs_delta_P_Murder,row_type,n_perturbation_trials,mean_abs_delta_P_Murder
UnlawfulKilling,1.0,1.0,1,0.8636363636363636,0.8,0.7312522346341669,0.7312264150289466,2.58196052203008e-05,cpt_entry,,
UnlawfulKilling,2.0,0.0,0,0.9444444444444444,0.8,0.7312522346341669,0.7312587599491328,6.52531496592168e-06,cpt_entry,,
UnlawfulKilling,2.0,1.0,1,0.05555555555555555,0.8,0.7312522346341669,0.7312468824095318,5.3522246350468095e-06,cpt_entry,,
UnlawfulKilling,3.0,0.0,0,0.11904761904761904,0.8,0.7312522346341669,0.7312592882635138,7.053629346942536e-06,cpt_entry,,
UnlawfulKilling,3.0,1.0,1,0.8809523809523809,0.8,0.7312522346341669,0.7312438762872528,8.358346914039139e-06,cpt_entry,,
UnlawfulKilling,4.0,0.0,0,0.43649055570763756,0.8,0.7312522346341669,0.7327178036397259,0.0014655690055590531,cpt_entry,,
UnlawfulKilling,4.0,1.0,1,0.5635094442923625,0.8,0.7312522346341669,0.7297447056731221,0.0015075289610447795,cpt_entry,,
UnlawfulKilling,5.0,0.0,0,0.07216117216117215,0.8,0.7312522346341669,0.7313819809745508,0.0001297463403838739,cpt_entry,,
UnlawfulKilling,5.0,1.0,1,0.9278388278388279,0.8,0.7312522346341669,0.7310952248727938,0.00015700976137311695,cpt_entry,,
UnlawfulKilling,6.0,0.0,0,0.22523117569352707,0.8,0.7312522346341669,0.7314463379209339,0.00019410328676705557,cpt_entry,,
UnlawfulKilling,6.0,1.0,1,0.7747688243064729,0.8,0.7312522346341669,0.7310328860864042,0.00021934854776273216,cpt_entry,,
UnlawfulKilling,7.0,0.0,0,0.05289421157684631,0.8,0.7312522346341669,0.7312872401252396,3.500549107271489e-05,cpt_entry,,
UnlawfulKilling,7.0,1.0,1,0.9471057884231537,0.8,0.7312522346341669,0.7312095056956671,4.2728938499769775e-05,cpt_entry,,
Verdict,0.0,0.0,Manslaughter,0.140125786163522,0.8,0.7312522346341669,0.733607118321377,0.002354883687210152,cpt_entry,,
Verdict,0.0,1.0,Murder,0.6654088050314465,0.8,0.7312522346341669,0.7249478487010613,0.006304385933105561,cpt_entry,,
Verdict,0.0,2.0,Not_Guilty,0.19446540880503146,0.8,0.7312522346341669,0.7345572773814125,0.0033050427472456345,cpt_entry,,
Verdict,1.0,0.0,Manslaughter,0.13490255631485698,0.8,0.7312522346341669,0.7364785090345985,0.005226274400431663,cpt_entry,,
Verdict,1.0,1.0,Murder,0.7605669450771956,0.8,0.7312522346341669,0.7206073760289482,0.010644858605218688,cpt_entry,,
Verdict,1.0,2.0,Not_Guilty,0.10453049860794734,0.8,0.7312522346341669,0.7352767375352277,0.004024502901060822,cpt_entry,,
Verdict,2.0,0.0,Manslaughter,0.05032386646736422,0.8,0.7312522346341669,0.7321911694874942,0.0009389348533273001,cpt_entry,,
Verdict,2.0,1.0,Murder,0.7199800697558545,0.8,0.7312522346341669,0.7252102252701593,0.006042009364007561,cpt_entry,,
Verdict,2.0,2.0,Not_Guilty,0.22969606377678126,0.8,0.7312522346341669,0.735699015666533,0.004446781032366065,cpt_entry,,
Verdict,3.0,0.0,Manslaughter,0.15110415579899147,0.8,0.7312522346341669,0.7373888043408672,0.00613656970670029,cpt_entry,,
